seed,agent_name,user_id,round_idx,domain,is_ood,true_tool,selected_tool,reward
0,Pure-Bandit,0,2,financial,1,Tonghua Shun,Tonghua Shun,1.0
0,Pure-Bandit,0,3,entertainment,0,iQiyi,Bilibili,0.0
0,Pure-Bandit,0,4,food_delivery,0,WeChat MiniProgram,Meituan,0.0
0,Pure-Bandit,0,5,shopping,0,Pinduoduo,Taobao,0.0
0,Pure-Bandit,0,6,food_delivery,0,WeChat MiniProgram,Ele.me,0.0
0,Pure-Bandit,0,7,financial,0,Yahoo Finance,Tonghua Shun,0.0
0,Pure-Bandit,0,8,shopping,0,Pinduoduo,JD.com,0.0
0,Pure-Bandit,0,9,navigation,0,Amap,DiDi,0.0
0,Pure-Bandit,1,0,navigation,0,DiDi,Amap,0.0
0,Pure-Bandit,1,1,shopping,0,JD.com,Taobao,0.0
0,Pure-Bandit,1,2,entertainment,0,iQiyi,Netflix,0.0
0,Pure-Bandit,1,3,food_delivery,0,Meituan,Meituan,1.0
0,Pure-Bandit,1,4,financial,0,Bloomberg,Tonghua Shun,0.0
0,Pure-Bandit,1,5,financial,0,Bloomberg,Bloomberg,1.0
0,Pure-Bandit,1,6,financial,0,Bloomberg,Bloomberg,1.0
0,Pure-Bandit,1,7,food_delivery,0,Meituan,Meituan,1.0
0,Pure-Bandit,1,8,financial,0,Bloomberg,Bloomberg,1.0
0,Pure-Bandit,1,9,shopping,0,JD.com,JD.com,1.0
0,Pure-Bandit,2,0,entertainment,0,Youku,iQiyi,0.0
0,Pure-Bandit,2,1,food_delivery,0,WeChat MiniProgram,Meituan,0.0
0,Pure-Bandit,2,2,food_delivery,1,Ele.me,Ele.me,1.0
0,Pure-Bandit,2,3,entertainment,0,Youku,Bilibili,0.0
0,Pure-Bandit,2,4,entertainment,0,Youku,Netflix,0.0
0,Pure-Bandit,2,5,shopping,0,Pinduoduo,Taobao,0.0
0,Pure-Bandit,2,6,entertainment,1,Bilibili,Youku,0.0
0,Pure-Bandit,2,7,navigation,0,Baidu Maps,Amap,0.0
0,Pure-Bandit,2,8,financial,0,Bloomberg,Tonghua Shun,0.0
0,Pure-Bandit,2,9,food_delivery,0,WeChat MiniProgram,Ele.me,0.0
1,Random,0,0,food_delivery,0,Meituan,WeChat MiniProgram,0.0
1,Random,0,1,entertainment,0,iQiyi,Bilibili,0.0
1,Random,0,2,food_delivery,0,Meituan,Meituan,1.0
1,Random,0,3,entertainment,0,iQiyi,Netflix,0.0
1,Random,0,4,financial,0,East Money,East Money,1.0
1,Random,0,5,financial,0,East Money,Tonghua Shun,0.0
1,Random,0,6,financial,0,East Money,Tonghua Shun,0.0
1,Random,0,7,financial,0,East Money,Yahoo Finance,0.0
1,Random,0,8,entertainment,1,Youku,iQiyi,0.0
1,Random,0,9,food_delivery,0,Meituan,WeChat MiniProgram,0.0
1,Random,1,0,shopping,0,Taobao,JD.com,0.0
1,Random,1,1,food_delivery,0,Meituan,Ele.me,0.0
1,Random,1,2,navigation,0,DiDi,Amap,0.0
1,Random,1,3,navigation,0,DiDi,Baidu Maps,0.0
1,Random,1,4,navigation,0,DiDi,CaoCao,0.0
1,Random,1,5,entertainment,0,Youku,Bilibili,0.0
1,Random,1,6,entertainment,1,Netflix,Youku,0.0
1,Random,1,7,food_delivery,0,Meituan,Ele.me,0.0
1,Random,1,8,navigation,0,DiDi,CaoCao,0.0
1,Random,1,9,entertainment,0,Youku,Youku,1.0
1,Random,2,0,food_delivery,0,WeChat MiniProgram,Ele.me,0.0
1,Random,2,1,entertainment,0,Youku,Bilibili,0.0
1,Random,2,2,food_delivery,1,Taobao Delivery,Taobao Delivery,1.0
1,Random,2,3,shopping,0,Amazon,JD.com,0.0
1,Random,2,4,shopping,0,Amazon,Pinduoduo,0.0
1,Random,2,5,navigation,0,DiDi,CaoCao,0.0
1,Random,2,6,shopping,0,Amazon,Pinduoduo,0.0
1,Random,2,7,navigation,0,DiDi,Amap,0.0
1,Random,2,8,navigation,0,DiDi,DiDi,1.0
1,Random,2,9,shopping,1,Pinduoduo,JD.com,0.0
1,Pure-Bandit,0,0,food_delivery,0,Meituan,Meituan,1.0
1,Pure-Bandit,0,1,entertainment,0,iQiyi,Netflix,0.0
1,Pure-Bandit,0,2,food_delivery,0,Meituan,Meituan,1.0
1,Pure-Bandit,0,3,entertainment,0,iQiyi,Bilibili,0.0
1,Pure-Bandit,0,4,financial,0,East Money,Tonghua Shun,0.0
1,Pure-Bandit,0,5,financial,0,East Money,East Money,1.0
1,Pure-Bandit,0,6,financial,0,East Money,East Money,1.0
1,Pure-Bandit,0,7,financial,0,East Money,East Money,1.0
1,Pure-Bandit,0,8,entertainment,1,Youku,Youku,1.0
1,Pure-Bandit,0,9,food_delivery,0,Meituan,Meituan,1.0
1,Pure-Bandit,1,0,shopping,0,Taobao,Taobao,1.0
1,Pure-Bandit,1,1,food_delivery,0,Meituan,Meituan,1.0
1,Pure-Bandit,1,2,navigation,0,DiDi,Amap,0.0
1,Pure-Bandit,1,3,navigation,0,DiDi,Baidu Maps,0.0
1,Pure-Bandit,1,4,navigation,0,DiDi,DiDi,1.0
1,Pure-Bandit,1,5,entertainment,0,Youku,Netflix,0.0
1,Pure-Bandit,1,6,entertainment,1,Netflix,Bilibili,0.0
1,Pure-Bandit,1,7,food_delivery,0,Meituan,Meituan,1.0
1,Pure-Bandit,1,8,navigation,0,DiDi,DiDi,1.0
1,Pure-Bandit,1,9,entertainment,0,Youku,Youku,1.0
1,Pure-Bandit,2,0,food_delivery,0,WeChat MiniProgram,Meituan,0.0
1,Pure-Bandit,2,1,entertainment,0,Youku,Netflix,0.0
1,Pure-Bandit,2,2,food_delivery,1,Taobao Delivery,Ele.me,0.0
1,Pure-Bandit,2,3,shopping,0,Amazon,Taobao,0.0
1,Pure-Bandit,2,4,shopping,0,Amazon,JD.com,0.0
1,Pure-Bandit,2,5,navigation,0,DiDi,Amap,0.0
1,Pure-Bandit,2,6,shopping,0,Amazon,Pinduoduo,0.0
1,Pure-Bandit,2,7,navigation,0,DiDi,DiDi,1.0
1,Pure-Bandit,2,8,navigation,0,DiDi,DiDi,1.0
1,Pure-Bandit,2,9,shopping,1,Pinduoduo,Amazon,0.0
